M,K,N,block_x,block_y,time_taken_ms
1,784,256,1,1,0.14853477478027344
1,784,256,1,2,0.1277923583984375
1,784,256,1,3,0.11396408081054688
1,784,256,1,4,0.11301040649414062
1,784,256,1,5,0.13566017150878906
1,784,256,1,6,0.1125335693359375
1,784,256,1,7,0.11348724365234375
1,784,256,1,8,0.1125335693359375
1,784,256,1,9,0.11277198791503906
1,784,256,1,10,0.11920928955078125
1,784,256,1,11,0.11277198791503906
1,784,256,1,12,0.11205673217773438
1,784,256,1,13,0.13136863708496094
1,784,256,1,14,0.11277198791503906
1,784,256,1,15,0.11348724365234375
1,784,256,1,16,0.11181831359863281
1,784,256,1,17,0.11229515075683594
1,784,256,1,18,0.11420249938964844
1,784,256,1,19,0.11157989501953125
1,784,256,1,20,0.11134147644042969
1,784,256,1,21,0.11301040649414062
1,784,256,1,22,0.12111663818359375
1,784,256,1,23,0.11372566223144531
1,784,256,1,24,0.11205673217773438
1,784,256,1,25,0.11181831359863281
1,784,256,1,26,0.11324882507324219
1,784,256,1,27,0.11301040649414062
1,784,256,1,28,0.11086463928222656
1,784,256,1,29,0.11157989501953125
1,784,256,1,30,0.11181831359863281
1,784,256,1,31,0.11324882507324219
1,784,256,1,32,0.11157989501953125
1,784,256,2,1,0.0705718994140625
1,784,256,2,2,0.06937980651855469
1,784,256,2,3,0.06818771362304688
1,784,256,2,4,0.07224082946777344
1,784,256,2,5,0.06985664367675781
1,784,256,2,6,0.07081031799316406
1,784,256,2,7,0.06914138793945312
1,784,256,2,8,0.06842613220214844
1,784,256,2,9,0.06771087646484375
1,784,256,2,10,0.06937980651855469
1,784,256,2,11,0.07009506225585938
1,784,256,2,12,0.07128715515136719
1,784,256,2,13,0.06818771362304688
1,784,256,2,14,0.07009506225585938
1,784,256,2,15,0.06890296936035156
1,784,256,2,16,0.06914138793945312
1,784,256,2,17,0.07128715515136719
1,784,256,2,18,0.072479248046875
1,784,256,2,19,0.0705718994140625
1,784,256,2,20,0.07033348083496094
1,784,256,2,21,0.06985664367675781
1,784,256,2,22,0.07081031799316406
1,784,256,2,23,0.06985664367675781
1,784,256,2,24,0.07009506225585938
1,784,256,2,25,0.07224082946777344
1,784,256,2,26,0.06985664367675781
1,784,256,2,27,0.07033348083496094
1,784,256,2,28,0.06961822509765625
1,784,256,2,29,0.06985664367675781
1,784,256,2,30,0.06961822509765625
1,784,256,2,31,0.07104873657226562
1,784,256,2,32,0.07128715515136719
1,784,256,3,1,0.05340576171875
1,784,256,3,2,0.05459785461425781
1,784,256,3,3,0.05507469177246094
1,784,256,3,4,0.054836273193359375
1,784,256,3,5,0.054836273193359375
1,784,256,3,6,0.054836273193359375
1,784,256,3,7,0.05245208740234375
1,784,256,3,8,0.06699562072753906
1,784,256,3,9,0.054836273193359375
1,784,256,3,10,0.05364418029785156
1,784,256,3,11,0.053882598876953125
1,784,256,3,12,0.05364418029785156
1,784,256,3,13,0.05459785461425781
1,784,256,3,14,0.053882598876953125
1,784,256,3,15,0.05698204040527344
1,784,256,3,16,0.05435943603515625
1,784,256,3,17,0.05507469177246094
1,784,256,3,18,0.054836273193359375
1,784,256,3,19,0.05507469177246094
1,784,256,3,20,0.053882598876953125
1,784,256,3,21,0.05435943603515625
1,784,256,3,22,0.054836273193359375
1,784,256,3,23,0.05459785461425781
1,784,256,3,24,0.056743621826171875
1,784,256,3,25,0.05435943603515625
1,784,256,3,26,0.05412101745605469
1,784,256,3,27,0.05507469177246094
1,784,256,3,28,0.053882598876953125
1,784,256,3,29,0.052928924560546875
1,784,256,3,30,0.05364418029785156
1,784,256,3,31,0.054836273193359375
1,784,256,3,32,0.05459785461425781
1,784,256,4,1,0.046253204345703125
1,784,256,4,2,0.04506111145019531
1,784,256,4,3,0.04458427429199219
1,784,256,4,4,0.04363059997558594
1,784,256,4,5,0.04506111145019531
1,784,256,4,6,0.04410743713378906
